TradeID,OrderID,OrderType,Signal,Date,Time,Price,Quantity,Profit,ProfitPct,CumulativeProfit,CumulativeProfitPct,MaxPotentialProfit,MaxPotentialProfitPct,MaxPotentialLoss,MaxPotentialLossPct
71,141,Enter Short,SE_NON,2002/12/13,11:35:00 AM,4635,2,-5200,-0.280474649,1102600,1102.6,26600,1.434735707,-4200,-0.226537217
,142,Exit Short,SX_K,2002/12/17,08:55:00 AM,4643,2,,,,,,,,
72,143,Enter Short,SE_NON,2002/12/13,11:35:00 AM,4635,1,36000,3.883495146,1138600,1138.6,38900,4.196332255,-2300,-0.24811219
,144,Exit Short,SX_P,2002/12/30,09:15:00 AM,4450,1,,,,,,,,
73,145,Enter Short,SE_NON,2002/12/30,10:25:00 AM,4431,3,600,0.022568269,1139200,1139.2,12300,0.462649515,-6900,-0.259535094
,146,Exit Short,SX_Dn,2002/12/31,09:05:00 AM,4425,3,,,,,,,,
74,147,Enter Short,SE_NON,2003/2/7,11:35:00 AM,4735,3,19800,0.696937698,1159000,1159,66300,2.333685322,-4500,-0.158394931
,148,Exit Short,SX_Dn,2003/2/10,09:55:00 AM,4697,3,,,,,,,,
75,149,Enter Short,SE_NON2,2003/8/8,01:45:00 PM,5212,3,-34200,-1.093630084,1124800,1124.8,27300,0.872985418,-38700,-1.23752878
,150,Exit Short,SX,2003/8/12,09:05:00 AM,5264,3,,,,,,,,
76,151,Enter Short,SE_NON2,2003/10/1,01:45:00 PM,5621,3,-60600,-1.796833304,1064200,1064.2,0,0,-66900,-1.983632806
,152,Exit Short,SX,2003/10/3,09:05:00 AM,5717,3,,,,,,,,
77,153,Enter Long,LE_NON,2003/10/21,08:55:00 AM,6098,3,-76200,-2.082650049,988000,988,5100,0.139389964,-74700,-2.041653001
,154,Exit Long,LX_S,2003/10/23,08:55:00 AM,5976,3,,,,,,,,
78,155,Enter Long,LE_NON,2003/11/10,08:55:00 AM,6032,3,-40800,-1.127320955,947200,947.2,32100,0.88693634,-44100,-1.218501326
,156,Exit Long,LX,2003/11/17,10:05:00 AM,5969,3,,,,,,,,
79,157,Enter Short,SE_NON,2003/11/17,11:25:00 AM,5961,2,22400,0.939439691,969600,969.6,23400,0.981378963,-14200,-0.595537661
,158,Exit Short,SX_K,2003/11/19,08:55:00 AM,5900,2,,,,,,,,
80,159,Enter Short,SE_NON,2003/11/17,11:25:00 AM,5961,1,28300,2.373762791,997900,997.9,36700,3.07834256,-7100,-0.595537661
,160,Exit Short,SX_2,2003/12/10,12:55:00 PM,5817,1,,,,,,,,
81,161,Enter Short,SE_NON2,2003/12/10,01:45:00 PM,5825,2,-39600,-1.699570815,958300,958.3,0,0,-46200,-1.982832618
,162,Exit Short,SX_K,2003/12/12,11:05:00 AM,5919,2,,,,,,,,
82,163,Enter Short,SE_NON2,2003/12/10,01:45:00 PM,5825,1,-24400,-2.094420601,933900,933.9,0,0,-23900,-2.051502146
,164,Exit Short,SX_S,2003/12/15,01:25:00 PM,5942,1,,,,,,,,
83,165,Enter Short,SE_NON2,2003/12/16,01:45:00 PM,5903,2,30800,1.304421481,964700,964.7,66200,2.803659156,-7800,-0.330340505
,166,Exit Short,SX_K,2003/12/19,09:05:00 AM,5821,2,,,,,,,,
84,167,Enter Short,SE_NON2,2003/12/16,01:45:00 PM,5903,1,400,0.033881077,965100,965.1,33100,2.803659156,-3900,-0.330340505
